sid,account_sid,date_created,date_updated,date_sent,from,to,body,status,direction,num_segments,price,price_unit,uri,subresource_uris
SMfa697198a120342c,AC887a67f53ab0f8021a31dd0179d89352,2026-02-26T01:21:55.450Z,2026-02-26T01:22:25.450Z,2026-02-26T01:22:07.450Z,+16000000466,+13121000318,Test message 12 for inbound.,sent,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMbbad14fd0bea9e7e.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMcbd8b75d8b96617b/Media.json""}"
SM3702c542df0cf05b,AC887a67f53ab0f8021a31dd0179d89352,2025-09-10T23:46:18.886Z,2025-09-10T23:46:48.886Z,2025-09-10T23:46:30.886Z,+16000000031,+15121000041,Test message 13 for inbound.,delivered,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMba7b3ff5a09452b1.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMfcacaa1bb73fac24/Media.json""}"
SM351ed6721e2bcf20,AC887a67f53ab0f8021a31dd0179d89352,2024-04-20T10:13:16.900Z,2024-04-20T10:13:46.900Z,2024-04-20T10:13:28.900Z,+13121000018,+16000000231,Test message 14 for outbound.,sent,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM38d80b585fe87bdd.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5784440a31d5f3fe/Media.json""}"
SM4afadaa6e6348eed,AC887a67f53ab0f8021a31dd0179d89352,2023-04-22T06:54:04.677Z,2023-04-22T06:54:34.677Z,2023-04-22T06:54:16.677Z,+17021000158,+16000000381,Test message 15 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM1b3f6c38563ea26f.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM2f7d2ba3dcad377b/Media.json""}"
SM53d8a1ad5a3304eb,AC887a67f53ab0f8021a31dd0179d89352,2024-06-09T15:48:09.792Z,2024-06-09T15:48:39.792Z,2024-06-09T15:48:21.792Z,+13141000489,+16000000341,Test message 16 for outbound.,sent,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMdcb965137552f1b2.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5461c4dd0a0ec930/Media.json""}"
SM776e3152b12011a9,AC887a67f53ab0f8021a31dd0179d89352,2025-06-08T02:57:11.255Z,2025-06-08T02:57:41.255Z,2025-06-08T02:57:23.255Z,+17021000338,+16000000209,Test message 17 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM1e5330c09e8c385e.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM4421484d2b9a989c/Media.json""}"
SMc67b30143bf99029,AC887a67f53ab0f8021a31dd0179d89352,2025-06-16T12:09:14.355Z,2025-06-16T12:09:44.355Z,2025-06-16T12:09:26.355Z,+16000000095,+16461000267,Test message 18 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMe9f390e0690a64be.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf8e4393377577b54/Media.json""}"
SMb21f42559889b1b5,AC887a67f53ab0f8021a31dd0179d89352,2025-10-08T16:36:48.154Z,2025-10-08T16:37:18.154Z,2025-10-08T16:37:00.154Z,+16000000050,+15031000095,Test message 19 for inbound.,delivered,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM649df55d0d8380ed.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM40f1a590e809fdfa/Media.json""}"
SM4660375bb16ed751,AC887a67f53ab0f8021a31dd0179d89352,2024-02-09T18:09:27.380Z,2024-02-09T18:09:57.380Z,2024-02-09T18:09:39.380Z,+16000000315,+17021000203,Test message 20 for inbound.,delivered,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMd199435e1a307cd6.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM24ed45709488e0e8/Media.json""}"
SM714ddbf76d26e571,AC887a67f53ab0f8021a31dd0179d89352,2023-05-13T08:31:41.161Z,2023-05-13T08:32:11.161Z,2023-05-13T08:31:53.161Z,+17021000053,+16000000177,Test message 21 for outbound.,delivered,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMd0ef83d7b731df25.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM73496104ed884c0a/Media.json""}"
SMcddd0ac48f30b561,AC887a67f53ab0f8021a31dd0179d89352,2026-04-01T19:20:37.450Z,2026-04-01T19:21:07.450Z,2026-04-01T19:20:49.450Z,+16141000404,+16000000337,Test message 22 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMd00afd12543bce43.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMfcd963ab88ce7f97/Media.json""}"
SM5ca75be7ad3231e4,AC887a67f53ab0f8021a31dd0179d89352,2023-05-07T17:14:37.206Z,2023-05-07T17:15:07.206Z,2023-05-07T17:14:49.206Z,+12131000437,+16000000295,Test message 23 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM9a257e6bf5f8134b.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM6bfe02caf2e17157/Media.json""}"
SMdc108de1425920f8,AC887a67f53ab0f8021a31dd0179d89352,2023-12-07T01:34:19.038Z,2023-12-07T01:34:49.038Z,2023-12-07T01:34:31.038Z,+16000000324,+13051000381,Test message 24 for inbound.,delivered,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM4eb8256b0dbf7bcf.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM4d8c8305801965d0/Media.json""}"
SM75a87fcafb16be8b,AC887a67f53ab0f8021a31dd0179d89352,2025-03-20T16:01:03.320Z,2025-03-20T16:01:33.320Z,2025-03-20T16:01:15.320Z,+16000000297,+15031000230,Test message 25 for inbound.,failed,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM31749a400a827628.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMa51509e89cc495a4/Media.json""}"
SMba9720a8110e899c,AC887a67f53ab0f8021a31dd0179d89352,2023-06-26T17:29:53.900Z,2023-06-26T17:30:23.900Z,2023-06-26T17:30:05.900Z,+19171000465,+16000000481,Test message 26 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM25dbb50510a235df.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMe350e243c91ffc0b/Media.json""}"
SMcaa29fe62f5bf21f,AC887a67f53ab0f8021a31dd0179d89352,2023-11-27T09:02:06.583Z,2023-11-27T09:02:36.583Z,2023-11-27T09:02:18.583Z,+15121000236,+16000000004,Test message 27 for outbound.,failed,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM9da0a1d3375b380f.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM0c16d7d3f3bd6c41/Media.json""}"
SM5504a236a33eb0b2,AC887a67f53ab0f8021a31dd0179d89352,2025-09-08T15:23:28.541Z,2025-09-08T15:23:58.541Z,2025-09-08T15:23:40.541Z,+13141000039,+16000000070,Test message 28 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb7aa13ba4f72b85c.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM95aa710f707ddc8c/Media.json""}"
SM2c23329e95414f0a,AC887a67f53ab0f8021a31dd0179d89352,2023-08-14T12:23:08.068Z,2023-08-14T12:23:38.068Z,2023-08-14T12:23:20.068Z,+15121000251,+16000000098,Test message 29 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM8bdeb3b34c6b89e4.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMa1b7a149cf1f5f50/Media.json""}"
SMcdb55b785c24c640,AC887a67f53ab0f8021a31dd0179d89352,2026-01-13T09:36:09.762Z,2026-01-13T09:36:39.762Z,2026-01-13T09:36:21.762Z,+16000000078,+16171000172,Test message 30 for inbound.,sent,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5d0e60af125049f4.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM788aae57b4180dbc/Media.json""}"
SM7ae919be7861f942,AC887a67f53ab0f8021a31dd0179d89352,2023-11-19T15:29:05.386Z,2023-11-19T15:29:35.386Z,2023-11-19T15:29:17.386Z,+16141000329,+16000000476,Test message 31 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM1ac39df3491f13a6.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf8d15961fbe365c1/Media.json""}"
SM557cf94de5056ff0,AC887a67f53ab0f8021a31dd0179d89352,2025-12-01T13:05:36.355Z,2025-12-01T13:06:06.355Z,2025-12-01T13:05:48.355Z,+16000000340,+14151000184,Test message 32 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM8e1afc9f8f2f86c7.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMc9cd4ecb843c5975/Media.json""}"
SM9193e83649b8a742,AC887a67f53ab0f8021a31dd0179d89352,2024-10-21T05:38:25.429Z,2024-10-21T05:38:55.429Z,2024-10-21T05:38:37.429Z,+15031000065,+16000000072,Test message 33 for outbound.,sent,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM70ba93aa178c46fa.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMe1469c014a458fc0/Media.json""}"
SMc9fd637ce8402877,AC887a67f53ab0f8021a31dd0179d89352,2023-11-16T06:08:56.861Z,2023-11-16T06:09:26.861Z,2023-11-16T06:09:08.861Z,+15121000476,+16000000100,Test message 34 for outbound.,failed,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5b6970a31d259674.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM4a81f015107a68e4/Media.json""}"
SMb77ed09695fccfdc,AC887a67f53ab0f8021a31dd0179d89352,2026-01-16T15:16:56.028Z,2026-01-16T15:17:26.028Z,2026-01-16T15:17:08.028Z,+16000000190,+19171000225,Test message 35 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMde8fa928be56c599.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5fa44ac27359b9cb/Media.json""}"
SM045dbfe84a996c6f,AC887a67f53ab0f8021a31dd0179d89352,2025-06-19T18:55:53.857Z,2025-06-19T18:56:23.857Z,2025-06-19T18:56:05.857Z,+16141000479,+16000000323,Test message 36 for outbound.,failed,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMe8ddd2e275f1f980.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM43793e5f42df5bbf/Media.json""}"
SM265280b57c4abd15,AC887a67f53ab0f8021a31dd0179d89352,2025-12-23T09:05:57.411Z,2025-12-23T09:06:27.411Z,2025-12-23T09:06:09.411Z,+17021000023,+16000000272,Test message 37 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMd12cc51085719b29.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM03afd9cd231968eb/Media.json""}"
SM3f6437844ab7e244,AC887a67f53ab0f8021a31dd0179d89352,2023-11-05T13:35:39.667Z,2023-11-05T13:36:09.667Z,2023-11-05T13:35:51.667Z,+15031000185,+16000000042,Test message 38 for outbound.,failed,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb958050c4877ac8e.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM7f1d8dc08e0338f1/Media.json""}"
SMf93170fdb52db39e,AC887a67f53ab0f8021a31dd0179d89352,2023-07-28T07:14:32.620Z,2023-07-28T07:15:02.620Z,2023-07-28T07:14:44.620Z,+16000000043,+14151000469,Test message 39 for inbound.,delivered,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMa38aca051e228389.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMbe3255c6ea871441/Media.json""}"
SM516f4ea3d0378409,AC887a67f53ab0f8021a31dd0179d89352,2024-11-22T00:47:52.078Z,2024-11-22T00:48:22.078Z,2024-11-22T00:48:04.078Z,+15031000290,+16000000175,Test message 40 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM43ef6788f8e34c1f.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf34fd9555deb45ee/Media.json""}"
SM45f622028f232231,AC887a67f53ab0f8021a31dd0179d89352,2026-03-21T09:11:19.970Z,2026-03-21T09:11:49.970Z,2026-03-21T09:11:31.970Z,+16000000386,+19171000090,Test message 41 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM2d11926757f669ed.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMeace904a1917a2f5/Media.json""}"
SMce9ffbba3e79d368,AC887a67f53ab0f8021a31dd0179d89352,2023-12-31T13:55:39.593Z,2023-12-31T13:56:09.593Z,2023-12-31T13:55:51.593Z,+16000000378,+13051000411,Test message 42 for inbound.,failed,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb97e16845c42dd41.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMac761d4e83072b9a/Media.json""}"
SM0087dcfa69ef4c52,AC887a67f53ab0f8021a31dd0179d89352,2023-09-28T02:40:28.411Z,2023-09-28T02:40:58.411Z,2023-09-28T02:40:40.411Z,+13141000039,+16000000019,Test message 43 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb1b429a847f74f46.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf7858d17bc66b1c7/Media.json""}"
SM8e9ea37563410c65,AC887a67f53ab0f8021a31dd0179d89352,2023-12-17T09:46:50.142Z,2023-12-17T09:47:20.142Z,2023-12-17T09:47:02.142Z,+16000000162,+12131000362,Test message 44 for inbound.,delivered,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM63156850e22c0151.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM44e2eeff7ff451b0/Media.json""}"
SMb8b14e948f4ce156,AC887a67f53ab0f8021a31dd0179d89352,2023-11-14T16:10:56.663Z,2023-11-14T16:11:26.663Z,2023-11-14T16:11:08.663Z,+12121000046,+16000000388,Test message 45 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMa7a5e56bed11a366.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM95a9f68c4e4738a6/Media.json""}"
SMea28578735890a53,AC887a67f53ab0f8021a31dd0179d89352,2023-10-06T14:33:41.629Z,2023-10-06T14:34:11.629Z,2023-10-06T14:33:53.629Z,+16000000014,+12061000043,Test message 46 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM305f1e51c3894e43.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMe7d7facdbc4a22a9/Media.json""}"
SM1743e148829cdcb2,AC887a67f53ab0f8021a31dd0179d89352,2026-04-07T15:18:12.831Z,2026-04-07T15:18:42.831Z,2026-04-07T15:18:24.831Z,+12121000211,+16000000209,Test message 47 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM48188be7efe903a2.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM87511d0e49e471ec/Media.json""}"
SM639993189d3abf77,AC887a67f53ab0f8021a31dd0179d89352,2025-05-19T10:59:59.691Z,2025-05-19T11:00:29.691Z,2025-05-19T11:00:11.691Z,+16000000057,+13121000393,Test message 48 for inbound.,sent,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMa0122bb65b8cf0bc.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf9dd9322bd896e9e/Media.json""}"
SMc0debc5d851fefce,AC887a67f53ab0f8021a31dd0179d89352,2024-10-08T05:35:45.487Z,2024-10-08T05:36:15.487Z,2024-10-08T05:35:57.487Z,+16000000348,+14041000130,Test message 49 for inbound.,sent,inbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM3362ee86a8056437.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM4a3df2f5c0014749/Media.json""}"
SM6b3ae49a5b69d9e1,AC887a67f53ab0f8021a31dd0179d89352,2025-12-01T01:12:11.548Z,2025-12-01T01:12:41.548Z,2025-12-01T01:12:23.548Z,+16000000426,+12131000482,Test message 50 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM0739551d3cd14c13.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM36e41acbf948ae8f/Media.json""}"
SMe3f691a68f84119b,AC887a67f53ab0f8021a31dd0179d89352,2024-12-30T00:23:02.703Z,2024-12-30T00:23:32.703Z,2024-12-30T00:23:14.703Z,+13051000276,+16000000325,Test message 51 for outbound.,sent,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb9d653e7408131d0.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb65ad7f37db80838/Media.json""}"
SM87229a3d7eb8ecea,AC887a67f53ab0f8021a31dd0179d89352,2024-03-06T23:34:53.275Z,2024-03-06T23:35:23.275Z,2024-03-06T23:35:05.275Z,+15031000260,+16000000314,Test message 52 for outbound.,sent,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMc1dbd488cbb03458.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMddbd999207a6c982/Media.json""}"
SMe4d9365a0a0d0d66,AC887a67f53ab0f8021a31dd0179d89352,2025-03-30T21:24:28.638Z,2025-03-30T21:24:58.638Z,2025-03-30T21:24:40.638Z,+16000000056,+14041000265,Test message 53 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM3c5cba24f9f72576.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM68bd3fc552235589/Media.json""}"
SMfc6e0c2c48591931,AC887a67f53ab0f8021a31dd0179d89352,2024-05-08T23:01:11.373Z,2024-05-08T23:01:41.373Z,2024-05-08T23:01:23.373Z,+16171000382,+16000000490,Test message 54 for outbound.,delivered,outbound,3,-0.0225,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMad24faf01e09f139.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM535934c6ac563d7b/Media.json""}"
